index,fixed acidity,volatile acidity,citric acid,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,quality,colour,target
1273,8.1,0.5,0.47,0.037,126.0,0.9938,3.21,0.42,10.9,5,0,0
1274,8.4,0.35,0.56,0.048,190.0,0.9993,3.07,0.58,9.4,6,0,1
1275,6.2,0.22,0.27,0.064,132.0,0.9938,3.22,0.46,9.2,6,0,1
1276,8.0,0.22,0.42,0.044,163.0,1.0003,3.21,0.69,8.6,7,0,1
1277,7.6,0.31,0.29,0.04,145.0,0.9966,3.04,0.35,9.4,5,0,0
1278,7.0,0.24,0.36,0.083,133.0,0.9942,3.33,0.37,10.8,6,0,1
1279,6.6,0.27,0.3,0.025,153.0,0.9928,3.29,0.62,10.5,6,0,1
1280,7.8,0.16,0.41,0.026,140.0,0.991,3.02,0.78,12.5,6,0,1
1281,7.7,0.27,0.34,0.028,168.0,0.9911,2.99,0.48,12.1,7,0,1
1282,7.4,0.31,0.74,0.039,147.0,0.9977,3.02,0.43,8.7,5,0,0
1283,8.0,0.45,0.36,0.026,151.0,0.9927,3.07,0.25,12.7,8,0,1
1284,7.7,0.27,0.34,0.028,168.0,0.9911,2.99,0.48,12.1,7,0,1
1285,7.8,0.16,0.41,0.026,140.0,0.991,3.02,0.78,12.5,6,0,1
1286,6.6,0.16,0.29,0.05,147.0,0.9912,3.06,0.44,11.4,7,0,1
1287,8.3,0.21,0.4,0.032,110.0,0.9907,3.02,0.6,12.9,7,0,1
1288,7.2,0.32,0.33,0.029,109.0,0.9902,3.15,0.51,12.8,7,0,1
1289,6.6,0.16,0.3,0.034,78.0,0.992,3.38,0.44,11.2,6,0,1
1290,8.4,0.16,0.33,0.033,98.0,0.994,3.14,0.42,9.7,6,0,1
1291,7.5,0.23,0.32,0.038,191.0,0.9966,3.04,0.56,9.7,6,0,1
1292,6.2,0.17,0.3,0.037,79.0,0.993,3.5,0.54,10.3,6,0,1
1293,6.9,0.39,0.22,0.03,102.0,0.993,3.0,0.87,11.6,4,0,0
1294,6.9,0.41,0.22,0.031,102.0,0.993,3.0,0.86,11.6,4,0,0
1295,7.5,0.23,0.32,0.038,191.0,0.9966,3.04,0.56,9.7,6,0,1
1296,7.5,0.38,0.33,0.045,131.0,0.9942,3.32,0.44,10.9,6,0,1
1297,7.3,0.42,0.38,0.045,122.0,0.9925,3.19,0.37,12.6,7,0,1
1298,7.3,0.34,0.39,0.04,163.0,0.9925,3.3,0.47,12.4,6,0,1
1299,7.8,0.23,0.28,0.042,166.0,0.9928,2.96,0.4,11.5,5,0,0
1300,9.0,0.245,0.38,0.045,159.0,0.995,2.93,0.35,10.2,6,0,1
1301,6.9,0.2,0.4,0.032,176.0,0.9939,3.22,0.27,11.4,5,0,0
1302,7.4,0.19,0.42,0.067,212.0,0.9958,3.3,0.33,9.6,6,0,1
1303,8.2,0.2,0.36,0.035,163.0,0.9952,3.05,0.3,10.3,6,0,1
1304,8.0,0.59,0.71,0.038,228.0,1.0,2.95,0.75,9.3,5,0,0
1305,7.9,0.14,0.45,0.05,114.0,0.9948,3.33,0.49,10.7,7,0,1
1306,6.8,0.24,0.4,0.047,105.0,0.99,3.13,0.49,12.8,8,0,1
1307,9.7,0.14,0.59,0.049,142.0,0.9958,2.98,0.62,9.5,5,0,0
1308,9.2,0.15,0.68,0.046,130.0,0.9948,3.02,0.45,10.4,6,0,1
1309,9.4,0.17,0.55,0.049,94.0,0.9949,3.02,0.61,10.3,6,0,1
1310,5.2,0.365,0.08,0.041,142.0,0.997,3.46,0.39,9.9,6,0,1
1311,6.3,0.23,0.22,0.039,116.0,0.9927,3.23,0.5,10.7,6,0,1
1312,9.6,0.25,0.54,0.04,160.0,0.9938,2.94,0.43,10.5,5,0,0
1313,9.2,0.32,0.42,0.046,186.0,0.9949,3.08,0.48,9.6,5,0,0
1314,6.4,0.31,0.4,0.04,169.0,0.9953,3.15,0.46,9.3,6,0,1
1315,8.1,0.2,0.36,0.044,162.0,0.997,3.1,0.46,10.0,6,0,1
1316,7.9,0.255,0.26,0.026,190.0,0.9932,3.04,0.39,11.2,6,0,1
1317,7.0,0.15,0.34,0.039,177.0,0.9927,3.32,0.62,10.8,5,0,0
1318,6.4,0.15,0.31,0.044,96.0,0.9932,3.54,0.51,10.3,6,0,1
1319,6.4,0.25,0.53,0.038,234.0,0.9955,3.03,0.42,8.8,5,0,0
1320,7.6,0.19,0.42,0.044,114.0,0.9914,3.04,0.74,12.8,6,0,1
1321,7.3,0.43,0.37,0.028,114.0,0.991,3.23,0.43,13.2,6,0,1
1322,5.1,0.31,0.3,0.037,152.0,0.992,3.54,0.56,10.1,6,0,1
1323,6.2,0.2,0.26,0.093,161.0,0.9924,3.44,0.66,11.0,5,0,0
1324,6.9,0.16,0.35,0.043,182.0,0.9927,3.25,0.62,10.8,6,0,1
1325,7.7,0.32,0.48,0.04,114.0,0.9911,3.2,0.52,12.8,7,0,1
1326,6.5,0.22,0.72,0.042,168.0,0.9958,3.12,0.36,9.2,6,0,1
1327,6.8,0.26,0.33,0.047,167.0,0.9928,3.12,0.44,10.5,6,0,1
1328,5.2,0.37,0.33,0.028,81.0,0.9902,3.37,0.38,11.7,6,0,1
1329,8.4,0.19,0.43,0.052,104.0,0.994,2.85,0.46,9.5,5,0,0
1330,8.3,0.21,0.41,0.05,108.0,0.994,2.85,0.45,9.5,5,0,0
1331,6.8,0.15,0.32,0.058,110.0,0.9972,3.4,0.4,8.8,6,0,1
1332,7.9,0.16,0.64,0.05,210.0,1.0004,3.15,0.51,9.3,7,0,1
1333,7.8,0.21,0.39,0.034,180.0,0.991,3.09,0.75,12.6,8,0,1
1334,9.0,0.24,0.5,0.048,107.0,0.9918,3.21,0.34,12.4,6,0,1
1335,5.7,0.21,0.24,0.047,189.0,0.995,3.65,0.72,10.1,6,0,1
1336,7.8,0.29,0.36,0.042,161.0,0.9941,3.26,0.37,11.2,8,0,1
1337,6.7,0.18,0.3,0.048,251.0,0.9956,3.29,0.52,10.0,5,0,0
1338,6.7,0.18,0.3,0.048,251.0,0.9956,3.29,0.52,10.0,5,0,0
1339,8.4,0.58,0.27,0.033,116.0,0.9959,2.99,0.39,10.8,6,0,1
1340,7.2,0.16,0.32,0.04,121.0,0.9922,3.27,0.33,10.0,6,0,1
1341,7.6,0.54,0.23,0.029,151.0,0.9931,3.04,0.33,10.4,5,0,0
1342,8.4,0.58,0.27,0.033,116.0,0.9959,2.99,0.39,10.8,6,0,1
1343,6.6,0.25,0.31,0.059,181.0,0.9984,3.51,0.47,9.8,6,0,1
1344,7.3,0.23,0.37,0.041,165.0,0.9908,3.26,0.4,12.2,8,0,1
1345,7.3,0.39,0.37,0.043,113.0,0.991,3.39,0.48,12.7,8,0,1
1346,7.0,0.46,0.39,0.039,163.0,0.9928,3.21,0.35,12.2,7,0,1
1347,8.2,0.35,0.4,0.039,162.0,0.9936,3.15,0.34,11.9,7,0,1
1348,7.8,0.29,0.36,0.042,161.0,0.9941,3.26,0.37,11.2,8,0,1
1349,9.2,0.35,0.39,0.042,61.0,0.9924,2.96,0.28,10.4,4,0,0
1350,8.0,0.57,0.39,0.034,122.0,0.9917,3.29,0.67,12.8,7,0,1
1351,6.5,0.37,0.33,0.027,130.0,0.9906,3.28,0.39,12.7,7,0,1
1352,5.7,0.21,0.24,0.047,189.0,0.995,3.65,0.72,10.1,6,0,1
1353,6.7,0.18,0.3,0.048,251.0,0.9956,3.29,0.52,10.0,5,0,0
1354,7.8,0.13,0.3,0.04,179.0,0.9955,3.43,0.41,9.0,5,0,0
1355,7.6,0.19,0.41,0.04,143.0,0.9907,2.92,0.42,11.4,5,0,0
1356,7.3,0.22,0.41,0.05,191.0,1.0,3.32,0.59,8.9,6,0,1
1357,6.3,0.29,0.4,0.039,167.0,0.9953,3.15,0.44,9.3,6,0,1
1358,6.8,0.35,0.32,0.048,103.0,0.9911,3.28,0.46,12.0,8,0,1
1359,6.5,0.19,0.32,0.04,132.0,0.9922,3.36,0.54,10.8,7,0,1
1360,6.2,0.12,0.26,0.044,158.0,0.9951,3.52,0.37,10.5,6,0,1
1361,6.0,0.13,0.28,0.038,189.5,0.9948,3.59,0.43,10.6,7,0,1
1362,6.4,0.25,0.33,0.04,115.0,0.9906,3.19,0.48,11.3,7,0,1
1363,6.9,0.32,0.16,0.051,96.0,0.994,3.22,0.38,9.5,4,0,0
1364,7.6,0.19,0.41,0.04,143.0,0.9907,2.92,0.42,11.4,5,0,0
1365,6.7,0.13,0.28,0.046,140.0,0.9927,3.33,0.33,10.1,7,0,1
1366,7.0,0.14,0.41,0.037,95.0,0.9914,3.25,0.43,10.9,6,0,1
1367,7.6,0.27,0.24,0.058,115.0,0.9958,3.15,0.45,8.9,5,0,0
1368,7.3,0.22,0.41,0.05,191.0,1.0,3.32,0.59,8.9,6,0,1
1369,7.4,0.64,0.47,0.168,185.0,0.9984,2.9,0.49,9.3,5,0,0
1370,7.6,0.28,0.39,0.052,116.0,0.9941,3.25,0.4,10.4,6,0,1
1371,8.3,0.26,0.41,0.042,162.0,0.9944,3.1,0.38,12.0,7,0,1
1372,10.7,0.22,0.56,0.044,181.0,0.998,2.87,0.68,9.5,6,0,1
1373,10.7,0.22,0.56,0.044,181.0,0.998,2.87,0.68,9.5,6,0,1
1374,6.9,0.23,0.34,0.032,121.0,0.9902,3.14,0.38,12.4,7,0,1
1375,6.2,0.3,0.32,0.032,130.0,0.9911,3.28,0.41,11.2,7,0,1
1376,6.9,0.27,0.41,0.047,134.0,0.9929,3.15,0.69,11.4,6,0,1
1377,6.9,0.28,0.41,0.05,136.0,0.993,3.16,0.71,11.4,6,0,1
1378,6.9,0.28,0.3,0.047,132.0,0.9918,3.35,0.38,11.1,7,0,1
1379,6.9,0.46,0.2,0.054,126.0,0.992,3.1,0.42,10.4,6,0,1
1380,6.9,0.38,0.32,0.044,152.0,0.9932,3.38,0.35,12.0,7,0,1
1381,5.7,0.43,0.3,0.039,98.0,0.992,3.54,0.61,12.3,7,0,1
1382,6.6,0.56,0.16,0.045,92.0,0.994,3.12,0.35,9.1,6,0,1
1383,7.1,0.36,0.56,0.046,102.0,0.9923,3.24,0.33,10.5,6,0,1
1384,6.8,0.23,0.4,0.047,133.0,0.993,3.23,0.7,11.4,6,0,1
1385,6.2,0.33,0.29,0.042,138.0,0.9956,3.77,0.64,9.5,5,0,0
1386,5.6,0.49,0.13,0.039,116.0,0.9907,3.42,0.9,13.7,7,0,1
1387,6.6,0.42,0.33,0.034,85.0,0.99,3.28,0.51,13.4,6,0,1
1388,7.3,0.18,0.29,0.044,143.0,0.9918,3.2,0.48,11.3,7,0,1
1389,8.1,0.19,0.4,0.037,180.0,0.9926,3.06,0.34,10.0,6,0,1
1390,5.9,0.19,0.26,0.034,123.0,0.995,3.49,0.42,10.1,6,0,1
1391,6.2,0.16,0.47,0.029,81.0,0.99,3.26,0.42,12.2,6,0,1
1392,6.6,0.42,0.33,0.034,85.0,0.99,3.28,0.51,13.4,6,0,1
1393,5.7,0.135,0.3,0.042,101.0,0.9946,3.31,0.42,9.3,6,0,1
1394,5.6,0.49,0.13,0.039,116.0,0.9907,3.42,0.9,13.7,7,0,1
1395,6.9,0.19,0.33,0.039,98.0,0.9898,3.09,0.46,12.3,7,0,1
1396,7.3,0.18,0.29,0.044,143.0,0.9918,3.2,0.48,11.3,7,0,1
1397,7.3,0.25,0.36,0.05,200.0,0.9986,3.04,0.46,8.9,7,0,1
1398,7.3,0.25,0.36,0.05,200.0,0.9986,3.04,0.46,8.9,7,0,1
1399,7.0,0.2,0.34,0.035,83.0,0.9928,3.19,0.46,11.5,6,0,1
1400,7.3,0.25,0.36,0.05,200.0,0.9986,3.04,0.46,8.9,7,0,1
1401,6.3,0.67,0.48,0.052,222.0,0.9979,3.17,0.52,9.3,6,0,1
1402,7.4,0.4,0.29,0.044,122.0,0.994,3.3,0.5,11.1,8,0,1
1403,7.1,0.26,0.31,0.044,128.0,0.9937,3.34,0.64,10.9,8,0,1
1404,9.0,0.31,0.48,0.043,73.0,0.9938,2.9,0.38,11.6,5,0,0
1405,6.3,0.39,0.24,0.069,117.0,0.9942,3.15,0.35,10.2,4,0,0
1406,8.2,0.22,0.36,0.034,90.0,0.9944,3.01,0.38,10.5,8,0,1
1407,7.1,0.19,0.28,0.033,78.0,0.993,2.91,0.78,11.4,6,0,1
1408,7.3,0.25,0.36,0.05,200.0,0.9986,3.04,0.46,8.9,7,0,1
1409,7.9,0.2,0.34,0.04,118.0,0.9932,3.14,0.41,10.6,6,0,1
1410,7.1,0.26,0.32,0.037,97.0,0.9934,3.31,0.4,11.6,6,0,1
1411,7.0,0.2,0.34,0.035,83.0,0.9928,3.19,0.46,11.5,6,0,1
1412,6.9,0.3,0.33,0.035,155.0,0.9925,3.25,0.79,12.3,8,0,1
1413,8.1,0.29,0.49,0.042,124.0,0.9944,3.14,0.41,10.8,6,0,1
1414,5.8,0.17,0.3,0.037,130.0,0.9909,3.29,0.38,11.3,6,0,1
1415,5.9,0.415,0.02,0.038,63.0,0.9932,3.36,0.36,9.3,5,0,0
1416,6.6,0.23,0.26,0.045,128.0,0.9934,3.36,0.6,10.0,6,0,1
1417,8.6,0.55,0.35,0.057,366.5,1.0001,3.04,0.63,11.0,3,0,0
1418,6.9,0.35,0.74,0.044,132.0,0.992,3.13,0.55,10.2,5,0,0
1419,7.6,0.14,0.74,0.04,103.0,0.9916,3.07,0.4,10.8,7,0,1
1420,9.2,0.28,0.49,0.042,137.0,0.998,3.1,0.34,10.1,4,0,0
1421,6.2,0.18,0.49,0.047,90.0,0.9919,3.27,0.37,11.6,6,0,1
1422,5.3,0.165,0.24,0.051,105.0,0.9925,3.32,0.47,9.1,5,0,0
1423,9.8,0.25,0.74,0.056,225.0,0.9977,3.06,0.43,10.0,4,0,0
1424,8.1,0.29,0.49,0.042,124.0,0.9944,3.14,0.41,10.8,6,0,1
1425,6.8,0.22,0.49,0.052,128.0,0.991,3.25,0.35,11.4,6,0,1
1426,7.2,0.22,0.49,0.045,140.0,0.99,3.05,0.34,12.7,6,0,1
1427,7.4,0.25,0.49,0.042,156.0,0.9917,3.13,0.55,11.3,5,0,0
1428,8.2,0.18,0.49,0.033,81.0,0.9923,3.0,0.68,10.4,7,0,1
1429,6.1,0.22,0.49,0.051,87.0,0.9928,3.3,0.46,9.6,5,0,0
1430,7.0,0.39,0.24,0.048,119.0,0.9923,3.0,0.31,10.1,4,0,0
1431,6.1,0.22,0.49,0.051,87.0,0.9928,3.3,0.46,9.6,5,0,0
1432,6.5,0.36,0.49,0.03,94.0,0.9902,3.1,0.49,12.1,7,0,1
1433,7.1,0.29,0.49,0.031,99.0,0.9893,3.07,0.33,12.2,6,0,1
1434,7.4,0.25,0.49,0.042,156.0,0.9917,3.13,0.55,11.3,5,0,0
1435,6.9,0.23,0.24,0.053,94.0,0.9982,3.17,0.5,9.6,5,0,0
1436,8.5,0.56,0.74,0.051,243.0,1.0005,2.99,0.7,9.2,5,0,0
1437,8.2,0.18,0.49,0.033,81.0,0.9923,3.0,0.68,10.4,7,0,1
1438,6.3,0.23,0.49,0.05,210.0,0.9951,3.23,0.34,9.5,5,0,0
1439,6.1,0.25,0.49,0.052,226.0,0.9956,3.16,0.47,8.9,5,0,0
1440,7.2,0.26,0.74,0.05,162.0,0.998,3.03,0.44,8.8,5,0,0
1441,7.2,0.31,0.24,0.057,117.0,0.9928,3.16,0.35,10.5,5,0,0
1442,8.0,0.25,0.49,0.061,117.0,0.9938,3.08,0.34,9.4,5,0,0
1443,7.0,0.18,0.49,0.04,125.0,0.9914,3.24,0.4,12.2,6,0,1
1444,7.8,0.43,0.49,0.033,158.0,0.9955,3.14,0.35,11.3,6,0,1
1445,8.3,0.2,0.74,0.044,130.0,0.9924,3.25,0.42,12.2,6,0,1
1446,6.3,0.27,0.49,0.063,92.0,0.9911,3.38,0.42,12.2,6,0,1
1447,7.4,0.16,0.49,0.055,150.0,0.9917,3.23,0.47,11.2,6,0,1
1448,7.4,0.16,0.49,0.055,150.0,0.9917,3.23,0.47,11.2,6,0,1
1449,6.9,0.19,0.49,0.036,172.0,0.9932,3.2,0.27,11.5,6,0,1
1450,7.8,0.43,0.49,0.033,158.0,0.9955,3.14,0.35,11.3,6,0,1
1451,7.2,0.4,0.49,0.048,138.0,0.9929,3.01,0.42,9.3,5,0,0
1452,7.8,0.43,0.49,0.033,158.0,0.9955,3.14,0.35,11.3,6,0,1
1453,7.6,0.52,0.49,0.034,156.0,0.9958,3.14,0.38,11.8,7,0,1
1454,8.3,0.21,0.49,0.054,231.0,1.0012,2.99,0.54,9.2,5,0,0
1455,6.9,0.34,0.74,0.069,150.0,0.9968,3.0,0.81,9.2,5,0,0
1456,6.3,0.27,0.49,0.063,92.0,0.9911,3.38,0.42,12.2,6,0,1
1457,8.3,0.2,0.74,0.044,130.0,0.9924,3.25,0.42,12.2,6,0,1
1458,7.1,0.22,0.74,0.044,144.0,0.991,3.31,0.41,12.2,6,0,1
1459,7.9,0.11,0.49,0.048,133.0,0.9946,3.24,0.42,10.6,6,0,1
1460,8.5,0.17,0.74,0.05,128.0,0.9928,3.28,0.4,12.4,6,0,1
1461,6.4,0.145,0.49,0.048,164.0,0.9946,3.56,0.44,10.8,6,0,1
1462,7.4,0.16,0.49,0.055,150.0,0.9917,3.23,0.47,11.2,6,0,1
1463,8.3,0.19,0.49,0.051,137.0,0.9918,3.06,0.46,11.0,6,0,1
1464,8.0,0.44,0.49,0.031,151.0,0.9926,3.16,0.27,12.7,8,0,1
1465,7.0,0.2,0.74,0.044,163.0,0.9931,3.46,0.53,10.2,5,0,0
1466,6.9,0.19,0.49,0.036,172.0,0.9932,3.2,0.27,11.5,6,0,1
1467,7.1,0.25,0.49,0.03,96.0,0.9903,3.13,0.39,12.3,7,0,1
1468,6.5,0.24,0.24,0.046,60.0,0.9928,3.19,0.39,9.8,5,0,0
1469,7.2,0.4,0.49,0.048,138.0,0.9929,3.01,0.42,9.3,5,0,0
1470,7.6,0.52,0.49,0.034,156.0,0.9958,3.14,0.38,11.8,7,0,1
1471,7.8,0.43,0.49,0.033,158.0,0.9955,3.14,0.35,11.3,6,0,1
1472,7.8,0.21,0.49,0.052,48.0,0.9911,3.15,0.28,11.4,5,0,0
1473,7.0,0.2,0.49,0.038,128.0,0.9938,3.21,0.48,10.8,6,0,1
1474,6.9,0.25,0.24,0.057,85.0,0.9942,2.99,0.48,9.5,4,0,0
1475,7.2,0.08,0.49,0.05,148.0,0.9945,3.46,0.44,10.2,6,0,1
1476,7.1,0.85,0.49,0.028,184.0,0.9962,3.22,0.36,10.7,5,0,0
1477,7.6,0.51,0.24,0.04,104.0,0.992,3.05,0.29,10.8,6,0,1
1478,7.9,0.22,0.24,0.044,159.0,0.9927,2.99,0.28,11.5,6,0,1
1479,7.7,0.16,0.49,0.056,124.0,0.9948,3.32,0.49,10.7,6,0,1
1480,7.2,0.08,0.49,0.05,148.0,0.9945,3.46,0.44,10.2,6,0,1
1481,6.6,0.25,0.24,0.048,124.0,0.9942,3.37,0.6,10.1,6,0,1
1482,6.7,0.16,0.49,0.046,187.0,0.9952,3.62,0.81,10.4,6,0,1
1483,6.9,0.25,0.24,0.057,85.0,0.9942,2.99,0.48,9.5,4,0,0
1484,7.5,0.32,0.24,0.053,134.0,0.9958,3.14,0.5,9.1,3,0,0
1485,7.4,0.28,0.49,0.034,126.0,0.9918,2.98,0.39,10.6,6,0,1
1486,6.2,0.15,0.49,0.033,51.0,0.9932,3.3,0.7,9.4,6,0,1
1487,6.7,0.25,0.74,0.054,169.0,1.0004,3.51,0.45,9.8,6,0,1
1488,6.5,0.26,0.74,0.044,224.0,0.9972,3.18,0.54,9.5,6,0,1
1489,7.9,0.16,0.74,0.037,187.0,0.9998,2.99,0.41,9.3,5,0,0
1490,5.6,0.185,0.49,0.03,117.0,0.9918,3.55,0.45,10.3,6,0,1
1491,7.5,0.2,0.49,0.031,97.0,0.9918,3.06,0.62,11.1,5,0,0
1492,8.0,0.3,0.49,0.046,188.0,0.9964,3.14,0.48,10.0,5,0,0
1493,8.0,0.34,0.49,0.033,180.0,0.9936,3.13,0.38,12.3,8,0,1
1494,7.7,0.35,0.49,0.033,186.0,0.9931,3.14,0.38,12.4,8,0,1
1495,7.6,0.29,0.49,0.03,197.0,0.9938,3.13,0.38,12.3,7,0,1
1496,6.7,0.62,0.24,0.039,62.0,0.9934,3.41,0.32,10.4,5,0,0
1497,6.8,0.27,0.49,0.044,126.0,0.99,3.13,0.48,12.1,7,0,1
1498,7.7,0.27,0.49,0.041,86.0,0.9914,3.16,0.42,12.5,6,0,1
1499,6.7,0.51,0.24,0.043,155.0,0.9904,3.22,0.6,13.0,6,0,1
1500,7.4,0.19,0.49,0.03,132.0,0.994,2.99,0.32,11.0,7,0,1
1501,8.3,0.2,0.49,0.04,169.0,0.9938,3.05,0.37,10.1,5,0,0
1502,6.6,0.3,0.24,0.034,121.0,0.9933,3.13,0.36,9.2,5,0,0
1503,6.8,0.36,0.24,0.039,124.0,0.9909,3.27,0.34,12.6,7,0,1
1504,7.0,0.17,0.74,0.045,126.0,0.9942,3.26,0.38,12.2,8,0,1
1505,9.2,0.18,0.49,0.041,130.0,0.9945,3.04,0.49,9.8,7,0,1
1506,8.1,0.2,0.49,0.051,205.0,0.9954,3.1,0.52,11.0,6,0,1
1507,7.8,0.26,0.74,0.044,160.0,0.996,3.22,0.64,10.0,6,0,1
1508,6.8,0.21,0.49,0.06,170.0,0.9991,3.55,0.44,9.8,6,0,1
1509,7.9,0.2,0.49,0.053,144.0,0.993,3.16,0.47,10.5,5,0,0
1510,8.0,0.18,0.49,0.061,145.0,0.9942,3.23,0.48,10.0,5,0,0
1511,8.8,0.23,0.74,0.042,126.0,0.9934,3.02,0.51,11.2,6,0,1
1512,7.3,0.22,0.49,0.034,134.0,0.9939,2.99,0.32,11.0,7,0,1
1513,7.3,0.22,0.49,0.031,161.0,0.9937,3.01,0.28,11.2,6,0,1
1514,7.4,0.19,0.49,0.03,132.0,0.994,2.99,0.32,11.0,7,0,1
1515,7.3,0.155,0.49,0.039,136.0,0.9926,3.14,0.77,10.5,6,0,1
1516,8.2,0.22,0.49,0.037,154.0,0.9951,3.02,0.33,10.6,6,0,1
1517,8.2,0.24,0.49,0.038,163.0,0.9952,3.02,0.33,10.6,6,0,1
1518,8.4,0.23,0.49,0.035,95.0,0.9935,3.04,0.34,12.0,6,0,1
1519,8.3,0.2,0.49,0.04,169.0,0.9938,3.05,0.37,10.1,5,0,0
1520,8.3,0.2,0.49,0.038,167.0,0.9939,3.05,0.37,10.1,6,0,1
1521,6.6,0.3,0.24,0.034,121.0,0.9933,3.13,0.36,9.2,5,0,0
1522,6.9,0.21,0.49,0.041,164.0,0.9927,3.25,0.63,11.0,5,0,0
1523,8.0,0.25,0.49,0.044,185.0,0.998,3.34,0.49,10.0,6,0,1
1524,6.6,0.21,0.49,0.042,158.0,0.9997,3.28,0.39,8.7,6,0,1
1525,7.2,0.27,0.74,0.037,156.0,0.9981,3.04,0.44,8.7,5,0,0
1526,14.2,0.27,0.49,0.037,156.0,0.992,3.15,0.54,11.1,6,0,1
1527,7.9,0.28,0.49,0.045,195.0,0.9954,3.04,0.55,11.0,6,0,1
1528,7.4,0.27,0.49,0.037,156.0,0.992,3.15,0.54,11.1,6,0,1
1529,6.6,0.21,0.49,0.042,158.0,0.9997,3.28,0.39,8.7,6,0,1
1530,7.2,0.27,0.74,0.037,156.0,0.9981,3.04,0.44,8.7,5,0,0
1531,8.1,0.3,0.49,0.037,174.0,0.9943,3.1,0.3,11.2,7,0,1
1532,7.5,0.23,0.49,0.049,209.0,0.9941,3.14,0.3,11.1,7,0,1
1533,7.3,0.26,0.49,0.028,107.0,0.9936,3.24,0.54,10.8,6,0,1
1534,7.1,0.18,0.74,0.044,176.0,0.9996,3.38,0.67,9.0,6,0,1
1535,8.5,0.15,0.49,0.031,122.0,0.9932,3.03,0.4,10.3,6,0,1
1536,8.9,0.13,0.49,0.028,24.0,0.9926,2.91,0.32,9.9,5,0,0
1537,8.1,0.28,0.49,0.04,148.0,0.9936,3.13,0.41,10.0,6,0,1
1538,6.0,0.17,0.49,0.034,106.0,0.992,3.21,0.42,9.8,6,0,1
1539,7.3,0.26,0.49,0.028,107.0,0.9936,3.24,0.54,10.8,6,0,1
1540,7.1,0.18,0.74,0.044,176.0,0.9996,3.38,0.67,9.0,6,0,1
1541,7.1,0.53,0.24,0.029,86.0,0.993,3.16,0.32,9.1,4,0,0
1542,7.2,0.16,0.49,0.037,104.0,0.9924,3.23,0.57,10.6,6,0,1
1543,7.3,0.14,0.49,0.038,99.0,0.9928,3.2,0.72,10.6,6,0,1
1544,8.9,0.13,0.49,0.028,24.0,0.9926,2.91,0.32,9.9,5,0,0
1545,7.9,0.12,0.49,0.049,152.0,0.9952,3.18,0.47,10.6,6,0,1
1546,6.7,0.29,0.49,0.034,156.0,0.9945,3.13,0.45,9.9,6,0,1
1547,6.7,0.3,0.49,0.034,158.0,0.9945,3.12,0.45,9.9,6,0,1
1548,7.1,0.36,0.24,0.025,102.0,0.9903,3.34,0.59,12.8,6,0,1
1549,8.5,0.15,0.49,0.031,122.0,0.9932,3.03,0.4,10.3,6,0,1
1550,7.9,0.18,0.49,0.051,157.0,0.9953,3.18,0.48,10.6,6,0,1
1551,6.6,0.19,0.99,0.122,129.0,0.9936,3.09,0.31,8.7,6,0,1
1552,7.3,0.21,0.49,0.038,152.0,0.9912,3.32,0.44,12.6,7,0,1
1553,6.9,0.3,0.49,0.057,156.0,0.9962,3.43,0.63,11.0,7,0,1
1554,7.9,0.42,0.49,0.056,164.0,0.9965,3.29,0.6,11.2,7,0,1
1555,6.9,0.24,0.49,0.032,148.0,0.9932,3.45,0.57,10.7,7,0,1
1556,7.6,0.23,0.49,0.036,182.0,0.9967,3.08,0.58,9.6,6,0,1
1557,7.9,0.18,0.49,0.051,157.0,0.9953,3.18,0.48,10.6,6,0,1
1558,6.2,0.43,0.49,0.045,115.0,0.9963,3.27,0.57,9.0,4,0,0
1559,8.8,0.35,0.49,0.036,56.0,0.992,2.96,0.33,10.5,4,0,0
1560,7.8,0.3,0.74,0.033,156.0,0.991,3.29,0.52,12.8,6,0,1
1561,9.1,0.28,0.49,0.059,112.0,0.9958,3.15,0.46,10.1,5,0,0
1562,7.1,0.34,0.49,0.027,126.0,0.99,3.3,0.33,12.2,7,0,1
1563,7.8,0.3,0.74,0.033,156.0,0.991,3.29,0.52,12.8,6,0,1
1564,9.1,0.28,0.49,0.059,112.0,0.9958,3.15,0.46,10.1,5,0,0
1565,8.5,0.19,0.49,0.044,117.0,0.9938,3.14,0.51,10.1,6,0,1
1566,7.6,0.18,0.49,0.046,158.0,0.9996,3.06,0.41,9.2,5,0,0
1567,7.5,0.19,0.49,0.055,110.0,0.9946,3.33,0.44,9.9,5,0,0
1568,7.4,0.3,0.49,0.055,188.0,0.9974,3.52,0.58,9.7,6,0,1
1569,6.7,0.3,0.74,0.038,157.0,0.9945,3.21,0.46,9.9,5,0,0
1570,6.6,0.3,0.74,0.041,159.0,0.9946,3.21,0.45,9.9,5,0,0
1571,7.4,0.3,0.49,0.055,188.0,0.9974,3.52,0.58,9.7,6,0,1
1572,6.9,0.22,0.49,0.063,168.0,0.9957,3.54,0.5,10.3,6,0,1
1573,7.8,0.26,0.49,0.045,116.0,0.9931,3.16,0.35,10.3,5,0,0
1574,8.5,0.17,0.49,0.048,108.0,0.9947,2.88,0.34,10.5,4,0,0
1575,6.8,0.17,0.74,0.053,182.0,0.9953,3.63,0.76,10.5,6,0,1
1576,6.2,0.27,0.49,0.05,74.0,0.9931,3.32,0.44,9.8,6,0,1
